metaphor|source_domain|target_domain|description|emotional_weight|strength
lighthouse|nature|guidance|illuminating path through darkness|hope,trust,clarity|strong
fortress|architecture|protection|secure stronghold against threats|safety,strength,control|strong
garден|nature|growth|cultivated space for flourishing|peace,abundance,nurture|medium
river|nature|flow|constant movement and change|progress,freedom,inevitability|medium
forge|technology|creation|crafting something strong through fire and pressure|strength,resilience,transformation|strong
bridge|architecture|connection|linking separate spaces safely|unity,trust,progress|strong
compass|navigation|direction|finding true north|clarity,purpose,guidance|medium
seed|nature|potential|small beginning with infinite growth|hope,possibility,future|strong
shield|protection|security|defending against threats|safety,strength,protection|strong
firewall|technology|protection|digital barrier against invasion|security,trust,safety|strong
gardens|nature|harmony|balanced ecosystem of elements|peace,sustainability,balance|medium
alchemy|transformation|innovation|turning base metals into gold|transformation,innovation,magic|medium
symphony|art|harmony|orchestrated elements creating beauty|unity,coordination,beauty|medium
journey|travel|progress|movement toward destination|progress,adventure,discovery|strong
mosaico|art|complexity|individual pieces creating unified picture|diversity,unity,beauty|medium
anvil|craftsmanship|strength|shaping something useful and strong|strength,craftsmanship,resilience|medium
phoenix|nature|renewal|rising from ashes reborn|renewal,transformation,hope|strong
ocean|nature|vastness|depth and endless horizons|vastness,mystery,power|medium
forest|nature|abundance|rich ecosystem of life and growth|abundance,life,mystery|medium
sky|nature|freedom|limitless and boundless space|freedom,possibility,hope|medium
